Fe II	254.908301	254.908306	70000	
Fe II	254.965870	254.965741	7000	
Fe II	255.002717	255.002711	100000	
Fe II	255.068286	255.068285	80000	
Fe II	255.12229	255.12227	3000	
Fe II	256.347523	256.347523	240000	
Fe II	256.621960	256.621961	27000	
Fe II	256.64014	256.640131	12000	
Fe I	256.95968	256.959678	269	
Fe I	257.66900	257.669004	2570	
Fe II	257.686372	257.686368	40000	
Fe II	257.911602	257.911596	32000	
Fe II	258.258297	258.258299	140000	
Fe I	258.45359	258.453576	9100	
Fe II	258.587560	258.587553	500000	
Fe II	258.794906	258.794912	50000	
Fe II	259.278411	259.278409	90000	
Fe I	259.41508	259.415106	214	
Fe II	259.836894	259.836884	500000	
Fe II	259.939515	259.939511	1000000	
Fe I	259.95667	259.956642	2510	
Fe II	260.503762	260.503757	17000	
Fe II	260.651588	260.651590	50000	
Fe I	260.68261	260.682632	5000	
Fe II	261.187336	261.187335	600000	
Fe II	261.382402	261.382399	320000	
Fe I	261.44945	261.449444	282	
Fe I	261.80179	261.801804	2140	
Fe II	262.166881	262.166876	90000	
Fe I	262.35337	262.353360	3310	
Fe II	262.548906	262.548906	100000	
Fe II	262.566685	262.566683	330000	
Fe II	263.104679	263.104672	400000	
Fe II	263.132292	263.132285	400000	
Fe I	263.22375	263.223736	1660	
Fe I	263.58087	263.580897	2090	
Fe I	264.39984	264.399839	1150	
Fe II	264.94689	264.946951	5000	
Fe II	265.56927	265.569241	3100	
Fe II	266.466347	266.466349	190000	
Fe II	266.554052	266.554047	17000	
Fe II	266.663566	266.663566	180000	
Fe I	266.68123	266.681221	3630	
